ID,FULL_NAME,FIRST_DEPTH_NAME,SECOND_DEPTH_NAME,THIRD_DEPTH_NAME,FOURTH_DEPTH_NAME
97,서울특별시 중구 삼각동,서울특별시,중구,삼각동,""
98,서울특별시 중구 수하동,서울특별시,중구,수하동,""
99,서울특별시 중구 장교동,서울특별시,중구,장교동,""
100,서울특별시 중구 수표동,서울특별시,중구,수표동,""
101,서울특별시 중구 소공동,서울특별시,중구,소공동,""
102,서울특별시 중구 남창동,서울특별시,중구,남창동,""
103,서울특별시 중구 북창동,서울특별시,중구,북창동,""
104,서울특별시 중구 태평로2가,서울특별시,중구,태평로2가,""
105,서울특별시 중구 남대문로2가,서울특별시,중구,남대문로2가,""
106,서울특별시 중구 남대문로3가,서울특별시,중구,남대문로3가,""
107,서울특별시 중구 남대문로4가,서울특별시,중구,남대문로4가,""
108,서울특별시 중구 남대문로5가,서울특별시,중구,남대문로5가,""
109,서울특별시 중구 봉래동1가,서울특별시,중구,봉래동1가,""
110,서울특별시 중구 봉래동2가,서울특별시,중구,봉래동2가,""
111,서울특별시 중구 회현동1가,서울특별시,중구,회현동1가,""
112,서울특별시 중구 회현동2가,서울특별시,중구,회현동2가,""
113,서울특별시 중구 회현동3가,서울특별시,중구,회현동3가,""
114,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,""
115,서울특별시 중구 충무로2가,서울특별시,중구,충무로2가,""
116,서울특별시 중구 명동1가,서울특별시,중구,명동1가,""
117,서울특별시 중구 명동2가,서울특별시,중구,명동2가,""
118,서울특별시 중구 남산동1가,서울특별시,중구,남산동1가,""
119,서울특별시 중구 남산동2가,서울특별시,중구,남산동2가,""
120,서울특별시 중구 남산동3가,서울특별시,중구,남산동3가,""
121,서울특별시 중구 저동1가,서울특별시,중구,저동1가,""
122,서울특별시 중구 충무로4가,서울특별시,중구,충무로4가,""
123,서울특별시 중구 충무로5가,서울특별시,중구,충무로5가,""
124,서울특별시 중구 인현동2가,서울특별시,중구,인현동2가,""
125,서울특별시 중구 예관동,서울특별시,중구,예관동,""
126,서울특별시 중구 묵정동,서울특별시,중구,묵정동,""
127,서울특별시 중구 필동1가,서울특별시,중구,필동1가,""
128,서울특별시 중구 필동2가,서울특별시,중구,필동2가,""
129,서울특별시 중구 필동3가,서울특별시,중구,필동3가,""
130,서울특별시 중구 남학동,서울특별시,중구,남학동,""
131,서울특별시 중구 주자동,서울특별시,중구,주자동,""
132,서울특별시 중구 예장동,서울특별시,중구,예장동,""
133,서울특별시 중구 장충동1가,서울특별시,중구,장충동1가,""
134,서울특별시 중구 장충동2가,서울특별시,중구,장충동2가,""
135,서울특별시 중구 광희동1가,서울특별시,중구,광희동1가,""
136,서울특별시 중구 광희동2가,서울특별시,중구,광희동2가,""
137,서울특별시 중구 쌍림동,서울특별시,중구,쌍림동,""
